rightsHolder,bed,country,habitat,year,scientificName,individualCount,county,decimalLatitude,type,catalogNumber,basisOfRecord,modified,maximumDepthInMeters,latestEpochOrHighestSeries,verbatimElevation,day,group,order,infraspecificEpithet,recordNumber,verbatimEventDate,higherGeography,georeferencedBy,island,locality,minimumElevationInMeters,georeferenceRemarks,stateProvince,decimalLongitude,collectionCode,verbatimLocality,occurrenceID,earliestEpochOrLowestSeries,maximumElevationInMeters,verbatimLatitude,license,month,dateIdentified,genus,isMarine,earliestPeriodOrLowestSystem,collectionID,eventDate,identificationID,continent,latestEraOrHighestErathem,eventID,earliestAgeOrLowestStage,scientificNameAuthorship,islandGroup,coordinateUncertaintyInMeters,taxonRank,formation,minimumDepthInMeters,institutionCode,verbatimLongitude,member,identifiedBy,class,nomenclaturalCode,georeferenceProtocol,sex,latestPeriodOrHighestSystem,typeStatus,verbatimCoordinateSystem,associatedMedia,geodeticDatum,lithostratigraphicTerms,waterBody,earliestEraOrLowestErathem,kingdom,specificEpithet,recordedBy,otherCatalogNumbers,phylum,lifeStage,latestAgeOrHighestStage,occurrenceRemarks,associatedSequences,family,georeferenceSources
"",,,,,,,ICZN,Mahe Island,Africa,"Mahe Id., Seychelle Ids.",,,,,,1,Chordata,1700-01-01,MCZ,,Hypogeophis,,,,,PhysicalObject,,,,collector number=50092; muse location number=ZA27840,,Gymnophiona,2012-12-06 08:45:37.0,,,[no verbatim date data],,1,27840,false,,,Hypogeophis rostratus rostratus,,,87411,,,,MCZ:Herp:A-27840,Herp,,CC-BY-NC,,rostratus,,Animalia,Amphibia,,,,,Caeciliaidae,,,PreservedSpecimen,16895,LDEFVesey-Fitzgerald,rostratus,President and Fellows of Harvard College,,Seychelles Islands,,,Catalog,"Mahe Id, Seychelle Ids",,Africa: Seychelles Islands: Mahe Island,,,
"",,,,,,,ICZN,Bonaire,North America,"Ceru Jargo,5km N. Kralendijk,Bonaire",,,,,,1,Chordata,1974-02-12,MCZ,,Anolis,,,,,PhysicalObject,,,,collector number=MCZ FS-F15918; muse location number=ZR142427,,Squamata,2015-05-14 16:04:26.0,,,12/2/1974-12/2/1974,,1,142427,false,,"Bonaire, Sint Eustatius and Saba",Anolis bonairensis,,,175245,Bonaire,,,MCZ:Herp:R-142427,Herp,,CC-BY-NC,,,,Animalia,Reptilia,,,,,Iguanidae,,,PreservedSpecimen,28225,A Dennison,bonairensis,President and Fellows of Harvard College,,West Indies,,,Catalog,"Ceru Jargo,5km N. Kralendijk",,"North America: Bonaire, Sint Eustatius and Saba: Bonaire: West Indies: Bonaire",,,
"",,,,,,,ICZN,Bonaire,North America,Bonaire:4km N. Kralendijk on Couvenor nebrotweg Hwy. at old Cement Factory,,,,,,1,Chordata,1974-02-07,MCZ,,Anolis,,,,,PhysicalObject,,,,collector number=MCZ FS-F15889; muse location number=ZR142430,,Squamata,2015-05-14 16:04:26.0,,,7/2/1974-7/2/1974,,1,142430,false,,"Bonaire, Sint Eustatius and Saba",Anolis bonairensis,,,175248,Bonaire,,,MCZ:Herp:R-142430,Herp,,CC-BY-NC,,,,Animalia,Reptilia,,,,,Iguanidae,,,PreservedSpecimen,28227,A Dennison,bonairensis,President and Fellows of Harvard College,,West Indies,,,Catalog,4km N. Kralendijk on Couvenor nebrotweg Hwy. at old Cement Factory,,"North America: Bonaire, Sint Eustatius and Saba: Bonaire: West Indies: Bonaire",,,
"",,,,,,,ICZN,Bonaire,North America,Bonaire:Fontain on road to Rincon,,,,,,1,Chordata,1974-02-11,MCZ,,Anolis,,,,,PhysicalObject,,,,collector number=MCZ FS-F15915; muse location number=ZR142432,,Squamata,2015-05-14 16:04:26.0,,,11/2/1974-11/2/1974,,1,142433,false,,"Bonaire, Sint Eustatius and Saba",Anolis bonairensis,,,175251,Bonaire,,,MCZ:Herp:R-142433,Herp,,CC-BY-NC,,,,Animalia,Reptilia,,,,,Iguanidae,,,PreservedSpecimen,28229,A Dennison,bonairensis,President and Fellows of Harvard College,,West Indies,,,Catalog,Fontein on road to Rincon,,"North America: Bonaire, Sint Eustatius and Saba: Bonaire: West Indies: Bonaire",,,
"",,,,,,,ICZN,,,Puerto Rico:Trail to El Yunque,,,,,,1,Chordata,1968-01-01,MCZ,,Anolis,,,,,PhysicalObject,,,,muse location number=ZR142502,,Squamata,2015-06-03 16:48:34.0,,,1968-1968,,1,142502,false,,Puerto Rico,Anolis evermanni,,,175331,,,,MCZ:Herp:R-142502,Herp,,CC-BY-NC,,,,Animalia,Reptilia,"Stejneger, 1904",,,,Iguanidae,,,PreservedSpecimen,28267,T. Preston Webster,evermanni,President and Fellows of Harvard College,,Greater Antilles,,,Catalog,Trail to El Yunque,,Puerto Rico: Greater Antilles,,,
"",,,,,,,ICZN,,,Puerto Rico:Trail to El Yunque,,,,,,1,Chordata,1968-01-01,MCZ,,Anolis,,,,,PhysicalObject,,,,muse location number=ZR142502,,Squamata,2015-06-03 16:48:34.0,,http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R142504_A_evermanni_leftjawd.jpg|http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R142504_A_evermanni_leftjawlab.jpg|http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R142504_A_evermanni_leftjawling.jpg|http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R142504_A_evermanni_pmx.jpg|http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R142504_A_evermanni_rightjawd.jpg|http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R142504_A_evermanni_rightjawlab.jpg|http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R142504_A_evermanni_rightjawling.jpg|http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R142504_A_evermanni_skl.jpg|http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R142504_A_evermanni_skl_2.jpg|http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R142504_A_evermanni_skv.jpg,1968-1968,,1,142504,false,,Puerto Rico,Anolis evermanni,,,175333,,,,MCZ:Herp:R-142504,Herp,,CC-BY-NC,,,,Animalia,Reptilia,"Stejneger, 1904",,,,Iguanidae,,,PreservedSpecimen,28267,T. Preston Webster,evermanni,President and Fellows of Harvard College,,Greater Antilles,,,Catalog,Trail to El Yunque,,Puerto Rico: Greater Antilles,,,
"",8865,www.fallingrain.com,,,"Used Saonek, PPL. Could not locate on map, estimated location using coordinates. Estimated extent 6.25 km radius, measured between Saonek and Besir. Map scale 1:6,000,000.",,ICZN,New Guinea,Indoaustralia,"Dutch New Guinea:Soanek,Waigeo Id",,,,,,1,Chordata,1907-01-01,MCZ,,Lygosoma,,,JBH (MCZ),,PhysicalObject,-0.4667d,130.7833d,MaNIS/HerpNET/ORNIS Georeferencing Guidelines,muse location number=ZR142718,,Squamata,2015-06-03 16:49:05.0,,,1907-1907,,1,142720,false,,,Lygosoma fuscum fuscum,,,175583,,-.4667,WGS84,MCZ:Herp:R-142720,Herp,,CC-BY-NC,130.7833,fuscum,,Animalia,Reptilia,,,,,Scincidae,,decimal degrees,PreservedSpecimen,28351,Thomas Barbour,fuscum,President and Fellows of Harvard College,,,,,Catalog,"Saonek,Waigeo Id",,Indoaustralia: New Guinea,,,
"",3292,"JOG NE 19-6 (1:250,000)",,,,,ICZN,Hispaniola,Central America,"Dominican Republic:Dist.Nacional,Parque La Caleta",,,,,,1,Chordata,1977-08-16,MCZ,,Anolis,,,Elisa Bonaccorso (KUNHM),,PhysicalObject,18.45140076d,-69.68920135d,MaNIS/HerpNET/ORNIS Georeferencing Guidelines,collector number=87123; muse location number=ZR153621,,Squamata,2015-06-03 16:49:47.0,,,16/8/1977-16/8/1977,,1,153621,false,,,Anolis distichus ignigularis,,,180503,,18.45140076,WGS84,MCZ:Herp:R-153621,Herp,,CC-BY-NC,-69.68920135,ignigularis,,Animalia,Reptilia,"Mertens, 1939",,,,Iguanidae,,decimal degrees,PreservedSpecimen,29431,"Dr. Ernest Edward Williams, Dr. Susan M. Case",distichus,President and Fellows of Harvard College,,,,,Catalog,"Dominican Republic:Dist. Nacional,Parque La Caleta",,Central America: Hispaniola,,,
"",3292,"JOG NE 19-6 (1:250,000)",,,,,ICZN,Hispaniola,Central America,"Dominican Republic:Dist.Nacional,Parque La Caleta",,,,,,1,Chordata,1977-08-16,MCZ,,Anolis,,,Elisa Bonaccorso (KUNHM),,PhysicalObject,18.45140076d,-69.68920135d,MaNIS/HerpNET/ORNIS Georeferencing Guidelines,collector number=87128; muse location number=ZR153621,,Squamata,2015-06-03 16:49:47.0,,,16/8/1977-16/8/1977,,1,153626,false,,,Anolis distichus ignigularis,,,180508,,18.45140076,WGS84,MCZ:Herp:R-153626,Herp,,CC-BY-NC,-69.68920135,ignigularis,,Animalia,Reptilia,"Mertens, 1939",,,,Iguanidae,,decimal degrees,PreservedSpecimen,29431,"Dr. Ernest Edward Williams, Dr. Susan M. Case",distichus,President and Fellows of Harvard College,,,,,Catalog,"Dominican Republic:Dist. Nacional,Parque La Caleta",,Central America: Hispaniola,,,
"",3292,"JOG NE 19-6 (1:250,000)",,,,,ICZN,Hispaniola,Central America,"Dominican Republic:Dist.Nacional,Parque La Caleta",,,,,,1,Chordata,1977-08-16,MCZ,,Anolis,,,Elisa Bonaccorso (KUNHM),,PhysicalObject,18.45140076d,-69.68920135d,MaNIS/HerpNET/ORNIS Georeferencing Guidelines,collector number=87137; muse location number=ZR153621,,Squamata,2015-06-03 16:49:47.0,,,16/8/1977-16/8/1977,,1,153635,false,,,Anolis distichus ignigularis,,,180517,,18.45140076,WGS84,MCZ:Herp:R-153635,Herp,,CC-BY-NC,-69.68920135,ignigularis,,Animalia,Reptilia,"Mertens, 1939",,,,Iguanidae,,decimal degrees,PreservedSpecimen,29431,"Dr. Ernest Edward Williams, Dr. Susan M. Case",distichus,President and Fellows of Harvard College,,,,,Catalog,"Dominican Republic:Dist. Nacional,Parque La Caleta",,Central America: Hispaniola,,,
